year,quarter,sum_kg,sum_m2,count_kelp,count_cloud_free,count
1984,1,,,0,0,10140
1984,2,9081808,1386842,2972,9539,10140
1984,3,,,0,0,10140
1984,4,2160749,389330,3707,10066,10140
1985,1,4800591,847712,4083,10066,10140
1985,2,7243187,1189773,2548,4920,10140
1985,3,915757,164680,591,9875,10140
1985,4,102178,19049,83,9672,10140
1986,1,2134519,382584,2824,10136,10140
1986,2,997133,180012,1155,10090,10140
1986,3,2027562,349814,1338,9870,10140
1986,4,494183,89242,702,10140,10140
1987,1,1921926,343736,2099,10066,10140
1987,2,2319389,394039,1173,8469,10140
1987,3,1091682,191241,841,9503,10140
1987,4,309168,54855,320,10065,10140
1988,1,56257,9490,108,10066,10140
1988,2,290128,51672,179,9600,10140
1988,3,1337774,224874,725,9789,10140
1988,4,1151049,213338,1346,10045,10140
1989,1,2118268,385674,2691,10063,10140
1989,2,743205,133316,911,9429,10140
1989,3,384068,69117,468,9799,10140
1989,4,776705,143575,1553,10140,10140
1990,1,2088824,376243,3087,10140,10140
1990,2,4263622,753130,3116,9886,10140
1990,3,505985,89579,347,9797,10140
1990,4,148293,27055,119,9440,10140
1991,1,,,0,0,10140
1991,2,7209227,1185871,3874,9904,10140
1991,3,1437336,258611,972,9867,10140
1991,4,1625886,294924,1215,10070,10140
1992,1,508144,89176,511,9027,10140
1992,2,4834013,837453,2512,9628,10140
1992,3,561562,99768,635,9739,10140
1992,4,874325,155502,1346,10140,10140
1993,1,792250,142794,694,10086,10140
1993,2,3027649,520761,2585,9814,10140
1993,3,269892,45916,166,9152,10140
1993,4,187867,33401,328,10130,10140
1994,1,772500,142445,1546,10138,10140
1994,2,9816499,1617964,5235,10027,10140
1994,3,1054417,178189,698,7285,10140
1994,4,2303975,415761,3681,10137,10140
1995,1,379523,70822,340,10014,10140
1995,2,758046,131714,1140,10133,10140
1995,3,356845,63128,343,9508,10140
1995,4,51761,9047,47,10138,10140
1996,1,777140,148353,954,10059,10140
1996,2,946149,168156,1126,10066,10140
1996,3,130245,23007,87,9312,10140
1996,4,430717,79601,591,10066,10140
1997,1,871590,157635,1261,10065,10140
1997,2,1157103,202077,1154,9956,10140
1997,3,371212,65803,282,9427,10140
1997,4,13557,2593,21,9974,10140
1998,1,180225,29853,271,10066,10140
1998,2,596226,99000,557,10046,10140
1998,3,39983,6766,17,7036,10140
1998,4,128117,23463,260,10066,10140
1999,1,2619809,452612,2448,10113,10140
1999,2,2151421,357496,803,8756,10140
1999,3,3684899,604332,1774,10139,10140
1999,4,908029,162327,2344,10140,10140
2000,1,630714,117888,1053,10138,10140
2000,2,1552232,261916,1411,10134,10140
2000,3,1177074,198026,844,10135,10140
2000,4,892272,157909,1262,10127,10140
2001,1,1006176,177029,1139,10137,10140
2001,2,527582,92985,866,10140,10140
2001,3,184782,32782,250,10094,10140
2001,4,1382060,239278,1596,10139,10140
2002,1,1908235,342867,2230,10140,10140
2002,2,2106026,358756,1658,10139,10140
2002,3,1959626,322659,977,10113,10140
2002,4,1538019,273403,1967,10140,10140
2003,1,1434937,264719,3015,10127,10140
2003,2,8536242,1407915,4358,10127,10140
2003,3,3676966,612065,1622,9974,10140
2003,4,1103401,203232,2320,10138,10140
2004,1,3600013,645663,4316,10133,10140
2004,2,8264588,1380432,5016,10114,10140
2004,3,3806237,638795,3658,10129,10140
2004,4,2229852,394569,3703,10127,10140
2005,1,3471637,626762,3589,10125,10140
2005,2,9472130,1574815,6538,10136,10140
2005,3,5099478,874534,4312,10140,10140
2005,4,3152787,584903,4946,10121,10140
2006,1,3453045,625734,4743,10127,10140
2006,2,4578113,805572,5066,10125,10140
2006,3,164426,28504,217,10084,10140
2006,4,872465,154787,1806,10140,10140
2007,1,4887478,838184,4039,10140,10140
2007,2,8468171,1420891,5401,10132,10140
2007,3,1044274,183922,1838,10134,10140
2007,4,2821888,523014,3779,10083,10140
2008,1,1791533,336045,3291,10140,10140
2008,2,4323913,753609,5081,10125,10140
2008,3,625520,109588,776,10138,10140
2008,4,535635,96716,1323,10140,10140
2009,1,3764185,680572,5271,10138,10140
2009,2,2954048,506895,2889,10129,10140
2009,3,490350,85033,1060,10138,10140
2009,4,231952,43019,833,10140,10140
2010,1,1645957,294641,2508,10140,10140
